Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0140097;catalytic activity, acting on DNA;49/2019;85/4821;0,00225;0,08726;0,08281;PV10_06154/PV10_06278/PV10_03580/PV10_08240/PV10_01113/PV10_01824/PV10_02626/PV10_02663/PV10_03105/PV10_00164/PV10_02216/PV10_02711/PV10_01431/PV10_00213/PV10_03991/PV10_08681/PV10_02119/PV10_05473/PV10_06476/PV10_02782/PV10_00133/PV10_04686/PV10_08001/PV10_04133/PV10_08517/PV10_04448/PV10_06521/PV10_00376/PV10_02984/PV10_07084/PV10_01567/PV10_02860/PV10_04813/PV10_04946/PV10_00216/PV10_03688/PV10_00814/PV10_01680/PV10_07520/PV10_02403/PV10_03089/PV10_06514/PV10_05011/PV10_08739/PV10_04196/PV10_05907/PV10_02418/PV10_06582/PV10_00822;49;Molecular process;1.4;2.4
GO:0051539;4 iron, 4 sulfur cluster binding;19/2019;27/4821;0,00255;0,08726;0,08281;PV10_08453/PV10_00130/PV10_03045/PV10_00860/PV10_01350/PV10_02113/PV10_09073/PV10_04277/PV10_00300/PV10_06911/PV10_04791/PV10_08238/PV10_07084/PV10_01567/PV10_04813/PV10_08178/PV10_07753/PV10_08459/PV10_08922;19;Molecular process;1.7;0.9
GO:0015075;ion transmembrane transporter activity;75/2019;140/4821;0,00307;0,0935;0,08873;PV10_07703/PV10_03937/PV10_02139/PV10_03210/PV10_02761/PV10_02141/PV10_00452/PV10_03038/PV10_05068/PV10_05812/PV10_07195/PV10_03639/PV10_07101/PV10_05464/PV10_06213/PV10_02569/PV10_01751/PV10_08033/PV10_08380/PV10_04924/PV10_08661/PV10_06561/PV10_02472/PV10_01735/PV10_07573/PV10_06668/PV10_05379/PV10_07964/PV10_08296/PV10_03702/PV10_07165/PV10_08283/PV10_04589/PV10_01037/PV10_04769/PV10_02176/PV10_00853/PV10_01486/PV10_05779/PV10_02199/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_07640/PV10_07541/PV10_01169/PV10_01315/PV10_01185/PV10_04709/PV10_03432/PV10_00124/PV10_05703/PV10_07128/PV10_07210/PV10_05525/PV10_08182/PV10_08251/PV10_05324/PV10_06559/PV10_03831/PV10_08905/PV10_01270/PV10_05809/PV10_04900/PV10_04941/PV10_04864/PV10_03451/PV10_03053/PV10_06593/PV10_04628/PV10_02800/PV10_04059/PV10_01274;75;Molecular process;1.3;3.7
GO:0005643;nuclear pore;14/1627;18/3748;0,00321;0,07855;0,07228;PV10_08458/PV10_04472/PV10_05939/PV10_06388/PV10_09190/PV10_03595/PV10_06697/PV10_07349/PV10_08034/PV10_05223/PV10_08524/PV10_01839/PV10_08306/PV10_00608;14;Cellular component;1.8;0.9
GO:0051234;establishment of localization;195/1341;395/3125;0,00337;0,16936;0,15776;PV10_07783/PV10_03509/PV10_01802/PV10_00693/PV10_06901/PV10_07807/PV10_08713/PV10_06975/PV10_01327/PV10_00254/PV10_06133/PV10_04601/PV10_03731/PV10_05796/PV10_01814/PV10_02760/PV10_04257/PV10_04526/PV10_07633/PV10_05656/PV10_00656/PV10_03955/PV10_04855/PV10_06981/PV10_08017/PV10_01597/PV10_02093/PV10_07434/PV10_09187/PV10_06980/PV10_01594/PV10_03681/PV10_02814/PV10_02768/PV10_06247/PV10_04901/PV10_07255/PV10_04924/PV10_05657/PV10_00740/PV10_01636/PV10_00920/PV10_03559/PV10_04533/PV10_05447/PV10_05520/PV10_07539/PV10_07581/PV10_03160/PV10_04363/PV10_01735/PV10_06555/PV10_07573/PV10_04993/PV10_02078/PV10_01518/PV10_00849/PV10_07384/PV10_05666/PV10_01085/PV10_00059/PV10_03514/PV10_05939/PV10_06388/PV10_07334/PV10_01691/PV10_03180/PV10_07095/PV10_07964/PV10_01021/PV10_07457/PV10_02551/PV10_02286/PV10_03812/PV10_04100/PV10_01872/PV10_00154/PV10_00900/PV10_03625/PV10_02642/PV10_01158/PV10_01037/PV10_00863/PV10_01658/PV10_02373/PV10_07235/PV10_01569/PV10_08757/PV10_04740/PV10_00715/PV10_08768/PV10_02343/PV10_06137/PV10_07231/PV10_02828/PV10_09190/PV10_05325/PV10_00741/PV10_03055/PV10_02715/PV10_07515/PV10_07062/PV10_03333/PV10_04191/PV10_03450/PV10_04760/PV10_08541/PV10_03595/PV10_04468/PV10_01003/PV10_03618/PV10_00775/PV10_01257/PV10_07611/PV10_05647/PV10_08854/PV10_06526/PV10_01568/PV10_05998/PV10_08097/PV10_07541/PV10_03670/PV10_07019/PV10_00114/PV10_01315/PV10_08090/PV10_00846/PV10_07996/PV10_07763/PV10_05804/PV10_02526/PV10_08727/PV10_06385/PV10_03266/PV10_07350/PV10_07821/PV10_07513/PV10_01604/PV10_08615/PV10_05398/PV10_07832/PV10_06024/PV10_08034/PV10_04894/PV10_06665/PV10_07042/PV10_00613/PV10_02310/PV10_05121/PV10_08696/PV10_01741/PV10_02623/PV10_05223/PV10_01419/PV10_04242/PV10_06405/PV10_05655/PV10_03637/PV10_07049/PV10_04667/PV10_06325/PV10_05390/PV10_04150/PV10_08524/PV10_01839/PV10_05143/PV10_06038/PV10_06510/PV10_02716/PV10_03292/PV10_06046/PV10_04497/PV10_01270/PV10_02751/PV10_06754/PV10_05809/PV10_08306/PV10_05562/PV10_00022/PV10_04860/PV10_03246/PV10_03535/PV10_03046/PV10_00149/PV10_04252/PV10_07809/PV10_00608/PV10_02584/PV10_01657/PV10_05649/PV10_01122/PV10_05858/PV10_00437/PV10_06757/PV10_00703;195;Biologycal process;1.2;14.5
GO:0006810;transport;191/1341;387/3125;0,00378;0,16936;0,15776;PV10_07783/PV10_03509/PV10_01802/PV10_00693/PV10_06901/PV10_07807/PV10_08713/PV10_06975/PV10_01327/PV10_00254/PV10_06133/PV10_04601/PV10_03731/PV10_05796/PV10_01814/PV10_02760/PV10_04257/PV10_04526/PV10_07633/PV10_05656/PV10_00656/PV10_03955/PV10_04855/PV10_06981/PV10_08017/PV10_01597/PV10_02093/PV10_07434/PV10_09187/PV10_06980/PV10_01594/PV10_03681/PV10_02814/PV10_02768/PV10_06247/PV10_04901/PV10_07255/PV10_04924/PV10_05657/PV10_00740/PV10_01636/PV10_00920/PV10_03559/PV10_04533/PV10_05520/PV10_07539/PV10_07581/PV10_03160/PV10_04363/PV10_01735/PV10_06555/PV10_07573/PV10_04993/PV10_02078/PV10_01518/PV10_00849/PV10_07384/PV10_05666/PV10_01085/PV10_00059/PV10_03514/PV10_05939/PV10_06388/PV10_07334/PV10_01691/PV10_03180/PV10_07095/PV10_07964/PV10_01021/PV10_07457/PV10_02286/PV10_03812/PV10_04100/PV10_01872/PV10_00154/PV10_00900/PV10_03625/PV10_02642/PV10_01158/PV10_01037/PV10_00863/PV10_01658/PV10_02373/PV10_07235/PV10_01569/PV10_08757/PV10_04740/PV10_00715/PV10_08768/PV10_02343/PV10_06137/PV10_07231/PV10_02828/PV10_09190/PV10_05325/PV10_00741/PV10_03055/PV10_02715/PV10_07515/PV10_07062/PV10_03333/PV10_04191/PV10_03450/PV10_04760/PV10_08541/PV10_03595/PV10_04468/PV10_01003/PV10_03618/PV10_00775/PV10_07611/PV10_05647/PV10_08854/PV10_06526/PV10_01568/PV10_05998/PV10_08097/PV10_07541/PV10_03670/PV10_07019/PV10_00114/PV10_01315/PV10_08090/PV10_00846/PV10_07996/PV10_07763/PV10_05804/PV10_02526/PV10_08727/PV10_06385/PV10_03266/PV10_07350/PV10_07821/PV10_07513/PV10_01604/PV10_08615/PV10_05398/PV10_07832/PV10_06024/PV10_08034/PV10_04894/PV10_06665/PV10_07042/PV10_00613/PV10_02310/PV10_05121/PV10_08696/PV10_01741/PV10_02623/PV10_05223/PV10_01419/PV10_04242/PV10_06405/PV10_05655/PV10_03637/PV10_07049/PV10_04667/PV10_06325/PV10_05390/PV10_04150/PV10_08524/PV10_01839/PV10_06038/PV10_06510/PV10_02716/PV10_03292/PV10_06046/PV10_04497/PV10_01270/PV10_02751/PV10_06754/PV10_05809/PV10_08306/PV10_05562/PV10_00022/PV10_04860/PV10_03246/PV10_03535/PV10_03046/PV10_00149/PV10_04252/PV10_07809/PV10_00608/PV10_02584/PV10_01657/PV10_05649/PV10_01122/PV10_05858/PV10_00437/PV10_06757/PV10_00703;191;Biologycal process;1.2;14.2
GO:0005856;cytoskeleton;50/1627;86/3748;0,00385;0,07855;0,07228;PV10_06332/PV10_04635/PV10_04063/PV10_06586/PV10_02722/PV10_01753/PV10_06268/PV10_01465/PV10_07761/PV10_03214/PV10_02908/PV10_01466/PV10_00793/PV10_04956/PV10_04693/PV10_05480/PV10_08553/PV10_05527/PV10_00790/PV10_07911/PV10_05914/PV10_03747/PV10_08040/PV10_01244/PV10_05740/PV10_01698/PV10_00240/PV10_01329/PV10_07659/PV10_05978/PV10_06893/PV10_00591/PV10_05335/PV10_06262/PV10_00313/PV10_06405/PV10_05602/PV10_01387/PV10_06384/PV10_07292/PV10_08980/PV10_01605/PV10_01596/PV10_07854/PV10_08981/PV10_03913/PV10_05348/PV10_06743/PV10_03867/PV10_04773;50;Cellular component;1.3;3.1
GO:0051603;proteolysis involved in protein catabolic process;42/1341;71/3125;0,0039;0,16936;0,15776;PV10_06440/PV10_02236/PV10_04899/PV10_08713/PV10_07900/PV10_06975/PV10_07892/PV10_02368/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02962/PV10_06664/PV10_02330/PV10_00892/PV10_03170/PV10_05783/PV10_00493/PV10_05622/PV10_00864/PV10_07726/PV10_06497/PV10_06162/PV10_04578/PV10_03982/PV10_06615/PV10_00237/PV10_06684/PV10_02524/PV10_02120/PV10_08363/PV10_07150/PV10_05479/PV10_06243/PV10_06160/PV10_03996/PV10_07516/PV10_00691/PV10_03535/PV10_03775/PV10_06527;42;Biologycal process;1.4;3.1
GO:0015629;actin cytoskeleton;19/1627;27/3748;0,00415;0,07855;0,07228;PV10_06332/PV10_04063/PV10_06586/PV10_01465/PV10_07761/PV10_01466/PV10_00793/PV10_05480/PV10_05527/PV10_07911/PV10_01244/PV10_05740/PV10_01698/PV10_06262/PV10_06405/PV10_08980/PV10_01596/PV10_08981/PV10_05348;19;Cellular component;1.6;1.2
GO:0090575;RNA polymerase II transcription regulator complex;15/1627;20/3748;0,00416;0,07855;0,07228;PV10_01662/PV10_00436/PV10_04035/PV10_03751/PV10_06920/PV10_05091/PV10_06375/PV10_01675/PV10_04282/PV10_06838/PV10_01137/PV10_01598/PV10_07253/PV10_00388/PV10_04003;15;Cellular component;1.7;0.9
